transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000051,2025-01-17 14:22:46,C6139,P001,wireless  mouse,Electronics,1,24.99,24.99,Orlando,Google Pay
TXN000052,2025-01-17 11:16:02,C8144,P002,USB-C CABLE,Electronics,4,12.5,50.0,Orlando,Google Pay
TXN000053,2025-01-15 14:04:42,C6409,P011, T-SHIRT ,Apparel,2,18.0,36.0,Dallas,Credit Card
TXN000054,2025-01-17 12:42:26,C6344,P012,running  shoes,Apparel,3,79.99,239.97,Dallas,Cash
TXN000055,2025-01-14 14:42:24,C3851,P009,pHONE cHARGER,Electronics,2,16.99,33.98,Raleigh,Google Pay
TXN000056,2025-01-15 12:13:27,C6279,P014,Protein Bar,Food,1,2.49,2.49,Raleigh,Apple Pay
TXN000057,2025-01-17 15:50:57,C3780,P011,t-shirt,Apparel,2,18.0,36.0,Nashville,Google Pay
TXN000058,2025-01-15 09:52:48,C4848,P011,t-sHIRT,Apparel,5,18.0,90.0,Atlanta,Debit Card
TXN000059,2025-01-13 11:30:39,C2193,P003,Mechanical Keyboard,Electronics,1,89.99,89.99,Raleigh,Google Pay
TXN000060,2025-01-16 14:15:09,C1090,P004,notebook,Office Supplies,4,6.75,27.0,Raleigh,Debit Card
TXN000061,2025-01-16 08:35:15,C2988,P003,Mechanical Keyboard,Electronics,5,89.99,449.95,Atlanta,Apple Pay
TXN000062,2025-01-17 17:20:48,C8251,P011,t-shirt,Apparel,5,18.0,90.0,Orlando,Apple Pay
TXN000063,2025-01-18 21:30:28,C5246,P015,Headphones,Electronics,2,59.99,119.98,Dallas,Cash
TXN000064,2025-01-16 18:15:17,C8206,P013,yoga mat,Fitness,5,29.99,149.95,Dallas,Cash
TXN000065,2025-01-15 13:57:34,C2320,P004,  Notebook  ,Office Supplies,3,6.75,20.25,Atlanta,Debit Card
TXN000066,2025-01-18 11:04:26,C7678,P007, WATER BOTTLE ,Kitchen,2,19.99,39.98,Orlando,Apple Pay
TXN000067,2025-01-14 21:26:24,C1320,P007,water  bottle,Kitchen,1,19.99,19.99,Raleigh,Credit Card
